rank,score,types,regions,title,actors
53,8.8,"剧情,喜剧",韩国,阳光姐妹淘,"沈恩京,闵孝琳,姜素拉,南宝拉,陈熙京,金时厚,柳好贞,朴真珠,金甫美,千禹熙,李璟荣,高俊,荷承里,金元海,楊朱虎,柳惠琳,朴赫民,高水熙,高素熙,金叡园,洪真熙,崔秀林,金玺碧,杨喜京,李俊赫,金宣敬,成志娄,金惠玉"
54,8.8,"剧情,喜剧",日本,菊次郎的夏天,"北野武,关口雄介,岸本加世子,グレート義太夫,井手博士,磨赤儿,大家由祐子,细川典江,今村鼠,田中要次,诹访太朗,吉行和子"
55,8.8,"喜剧,动画,奇幻,冒险",美国,玩具总动员3,"汤姆·汉克斯,蒂姆·艾伦,琼·库萨克,尼德·巴蒂,唐·里克斯,迈克尔·基顿,裘蒂·班森,童自荣,罗里·艾伦,乌比·戈德堡,巴德·乐凯,约翰·拉岑贝格,伊瑞克·冯·迪滕,泰迪·牛顿,户田惠子,李·厄米,贝雅翠丝·米勒,埃米莉·哈恩,齐凡克·塔里图格,理查德·坎德,约翰·莫里斯,雪莉·琳恩,杰夫·格尔林,古明华,劳里·梅特卡夫,提摩西·道尔顿,邦尼·亨特,华莱士·肖恩,李·昂克里奇,爱丝黛儿·哈里斯,布莱克·克拉克,杰克·安杰尔,克里斯汀·沙尔,玻伦·萨特,唐泽寿明"
56,8.8,"剧情,喜剧,家庭",韩国,7号房的礼物,"柳承龙,朴信惠,郑镇荣,金正泰,吴达洙,朴元尚,郑满植,葛素媛,卢康民,吴昌庆,赵德贤,全宪泰,崔录运,金基天, 李柱灿,吕茂英 ,郑熙泰,韩成勇,赵在允,郑涵妃,尹善宇"
57,8.8,"剧情,喜剧,动作,犯罪",香港,纵横四海,"周润发,张国荣,钟楚红,朱江,曾江,胡枫,唐宁,邓一君,冯雪瑞,胡大为,韩俊"
58,8.8,"剧情,喜剧,犯罪","阿根廷,西班牙",荒蛮故事,"达里奥·格兰迪内蒂,玛丽娅·玛努尔,莫妮卡·比利亚,丽塔·科尔泰塞,胡丽叶塔·泽尔贝伯格,凯撒·博尔东,莱昂纳多·斯巴拉格利亚,沃尔特·多纳多,里卡多·达林,南希·杜普拉,奥斯卡·马丁内兹,玛莉亚·奥内托,奥斯马·努涅斯,赫尔曼·德·席尔瓦,艾丽卡·里瓦斯,地亚哥·詹蒂莱,玛格丽塔·莫菲诺,保拉 ·格林斯潘"
59,8.8,"喜剧,动画,奇幻",美国,玩具总动员4,"汤姆·汉克斯,蒂姆·艾伦,安妮·波茨,托尼·海尔,科甘-迈克尔·凯,玛德琳·麦格劳,克里斯蒂娜·亨德里克斯,乔丹·皮尔,基努·里维斯,松村艾丽,杰伊·埃尔南德斯,罗里·艾伦,琼·库萨克,邦尼·亨特,克里斯汀·沙尔,华莱士·肖恩,约翰·拉岑贝格,布莱克·克拉克,琼·斯奎布,卡尔·韦瑟斯,唐·里克斯,杰夫·格尔林,朱莉安娜·汉森,爱丝黛儿·哈里斯,劳里·梅特卡夫,史蒂夫·波赛尔,梅尔·布鲁克斯,艾伦·欧朋海默,卡罗尔·博内特,贝蒂·怀特,卡尔·雷纳,比尔·哈德尔,帕特丽夏·阿奎特,提摩西·道尔顿,弗利,梅丽莎·维拉斯诺,杰夫·皮金,约翰·莫里斯,裘蒂·班森,巴德·乐凯"
60,8.8,"剧情,喜剧,奇幻,冒险","美国,南非,印度",坠入,"凯婷卡·安塔鲁,贾斯蒂恩·瓦戴尔,李·佩斯,Kim Uylenbroek,Aiden Lithgow,肖恩·吉尔德,Ronald France,Andrew Roussouw,Michael Huff,格兰特·斯旺比,埃米尔奥斯迪那,罗宾·史密斯,Jeetu Verma,里奥·比尔,Marcus Wesley,Camilla Waldman,大卫·芬奇,丹尼尔·卡尔塔吉罗内,乔恩·凯曼,朱利安·布里奇,Elvira Deatcu,斯派克·琼斯"
61,8.8,"喜剧,剧情","美国,英国",奇爱博士,"彼得·塞勒斯,乔治·C·斯科特,斯特林·海登,詹姆斯·厄尔·琼斯,格伦·贝克,特蕾西·里德,谢恩·里默,彼得·布尔,斯利姆·佩金斯"
62,8.8,喜剧,"博茨瓦纳,南非,美国",上帝也疯狂2,"历苏,Lourens Swanepoel,Pierre van Pletzen,Erick Bowen,Treasure Tshabalala,Nadies,Eiros,Hans Strydom,Lena Farugia,Richard Loring"
63,8.8,"动画,喜剧,家庭",日本,我的邻居山田君,"朝丘雪路,益冈徹,矢野显子,宇野直美"
64,8.8,喜剧,美国,热情如火,"玛丽莲·梦露,托尼·柯蒂斯,杰克·莱蒙,乔治·拉夫特,帕特·奥布莱恩,乔·E·布朗,内赫米亚·佩尔索夫,琼·肖丽,乔治·E·斯通,戴夫·巴里,迈克·马祖尔凯,哈里·威尔逊,贝弗利·威尔斯,芭芭拉·德鲁,小爱德华·G·罗宾逊"
65,8.8,喜剧,法国,与玛格丽特的午后,"热拉尔·德帕迪约,吉赛勒·卡扎德絮,帕特里克·伯利奇,弗朗索瓦-格扎维埃·德梅松,莫拉娜,让-弗朗索瓦·斯泰弗南,克莱尔·莫里耶,索菲·吉耶曼,梅兰妮·贝尔内尔,安妮吕丢尔勒克,布鲁诺里奇,莱耶·塞伦,马蒂厄达昂"
66,8.8,"喜剧,爱情",苏联,办公室的故事,"安德烈·米亚赫科夫,阿丽萨·弗雷因德利赫,斯维特拉娜·涅莫利亚耶娃,奥列格·巴希拉什维利,莉亚·阿赫扎科娃,玛丽亚·维诺格拉多娃,彼得·谢尔巴科夫,柳德米拉·伊万诺娃,Zoya Isayeva,格奥尔基·布尔科夫,内莉·普绍娜娅"
67,8.8,"传记,喜剧,剧情,爱情","意大利,法国,比利时",邮差,"菲利普·努瓦雷,马西莫·特洛伊西,玛丽亚·格拉齐亚·库奇诺塔,雷纳托·斯卡帕,琳达·莫雷蒂,Mariano Rigillo,安娜·博纳奥图"
